size_sqft,total_bedrooms,total_bathrooms,house_age,location,garage,condition,price
600,3,3.0,46,Suburban,No,Good,484000
1181,3,2.0,46,Urban,Yes,Good,644000
1731,3,2.5,6,Urban,Yes,Excellent,749000
1419,4,2.5,0,Urban,Yes,Good,679000
1648,5,2.0,2,Rural,No,Average,616000
1258,2,1.5,7,Urban,Yes,Good,651000
1535,2,2.0,44,Urban,Yes,Average,577000
1438,2,1.0,2,Suburban,Yes,Good,588000
1967,5,3.0,21,Urban,Yes,Excellent,775000
1602,4,2.0,1,Suburban,Yes,Excellent,629000
1635,2,1.5,50,Urban,Yes,Excellent,651000
1335,4,2.0,7,Rural,No,Average,485000
1305,5,3.0,22,Rural,No,Average,550000
1327,4,3.5,6,Rural,No,Excellent,635000
1658,5,3.0,14,Suburban,Yes,Good,680000
1332,2,1.5,3,Suburban,Yes,Good,649000
1616,4,2.5,2,Urban,Yes,Good,667000
2330,3,3.0,41,Urban,Yes,Excellent,830000
1848,4,2.5,37,Urban,No,Excellent,731000
1370,4,3.5,32,Suburban,Yes,Excellent,597000
1980,4,3.5,14,Suburban,Yes,Excellent,840000
1337,4,3.0,24,Suburban,No,Excellent,623000
685,2,2.0,1,Urban,No,Excellent,514000
1097,3,2.5,6,Suburban,Yes,Good,545000
752,5,2.0,5,Suburban,Yes,Excellent,566000
1359,5,2.5,15,Suburban,Yes,Poor,583000
1507,1,1.5,6,Suburban,Yes,Excellent,633000
2171,2,2.0,2,Urban,Yes,Excellent,774000
1631,2,1.0,13,Rural,Yes,Excellent,625000
1412,4,2.0,25,Suburban,No,Excellent,608000
1832,4,2.5,7,Urban,Yes,Average,655000
616,2,2.0,2,Urban,Yes,Excellent,545000
1594,3,2.0,3,Suburban,Yes,Poor,531000
1808,4,3.5,4,Rural,Yes,Poor,638000
909,4,2.0,5,Suburban,No,Good,515000
1958,3,2.5,15,Urban,Yes,Good,742000
1635,3,2.0,13,Rural,Yes,Average,628000
1334,3,3.5,17,Suburban,Yes,Excellent,618000
1753,2,1.5,6,Suburban,No,Good,670000
2408,3,2.5,26,Suburban,Yes,Excellent,771000
1573,4,3.0,3,Urban,No,Excellent,764000
1599,5,3.0,9,Suburban,Yes,Good,680000
1316,4,3.5,24,Urban,Yes,Good,634000
1160,4,2.5,2,Rural,Yes,Poor,538000
1832,2,1.0,1,Suburban,No,Excellent,655000
1158,3,3.5,32,Suburban,No,Average,515000
1529,1,1.5,6,Suburban,Yes,Excellent,618000
1309,2,1.5,17,Rural,Yes,Excellent,560000
1692,4,3.0,0,Rural,Yes,Excellent,722000
1633,5,2.5,17,Suburban,Yes,Good,622000
1915,1,1.5,5,Suburban,Yes,Excellent,692000
1296,3,3.0,0,Suburban,No,Good,629000
1392,4,3.0,14,Suburban,No,Average,604000
1108,2,1.5,4,Urban,Yes,Good,633000
1322,3,3.0,7,Suburban,Yes,Good,625000
1651,4,3.5,1,Urban,No,Average,682000
1803,4,2.0,2,Rural,No,Average,634000
1131,2,1.0,5,Urban,Yes,Good,592000
1848,3,3.0,1,Rural,Yes,Excellent,680000
2042,4,3.5,36,Suburban,Yes,Poor,686000
1665,3,2.5,0,Suburban,Yes,Good,659000
2251,1,2.0,9,Suburban,Yes,Excellent,727000
1190,4,3.5,1,Urban,Yes,Excellent,667000
1002,1,1.5,5,Urban,Yes,Average,580000
789,4,3.5,39,Urban,Yes,Excellent,488000
2098,2,1.0,2,Suburban,Yes,Poor,664000
1762,5,3.0,50,Suburban,Yes,Excellent,695000
1478,3,2.5,3,Suburban,No,Average,552000
1612,3,3.0,20,Urban,No,Excellent,697000
1050,2,1.5,11,Urban,Yes,Good,592000
2478,3,2.0,32,Suburban,Yes,Poor,723000
1552,5,2.5,12,Rural,No,Good,534000
1544,5,2.0,11,Suburban,Yes,Good,707000
1790,3,3.5,3,Suburban,Yes,Excellent,707000
1692,3,3.5,2,Suburban,Yes,Excellent,736000
1590,4,2.5,37,Urban,Yes,Excellent,714000
1184,5,3.0,5,Rural,Yes,Average,541000
1689,3,2.5,6,Suburban,No,Excellent,696000
2253,3,3.0,21,Urban,Yes,Excellent,791000
2038,3,3.5,6,Suburban,Yes,Good,681000
2137,4,3.5,45,Urban,No,Good,776000
1296,1,2.0,20,Rural,Yes,Average,483000
1104,4,3.0,13,Urban,Yes,Excellent,625000
1450,3,2.5,31,Suburban,Yes,Excellent,623000
1522,4,3.5,0,Urban,Yes,Poor,667000
1938,1,2.0,4,Suburban,Yes,Excellent,702000
823,3,3.0,9,Suburban,Yes,Poor,512000
2112,3,3.0,3,Suburban,Yes,Poor,655000
1437,4,3.0,20,Suburban,No,Average,576000
1329,1,1.5,37,Rural,Yes,Excellent,528000
1095,3,3.5,8,Urban,Yes,Average,662000
838,3,2.0,6,Urban,Yes,Average,542000
1829,3,3.0,48,Urban,Yes,Good,725000
1529,4,2.5,8,Rural,Yes,Excellent,643000
984,4,2.5,10,Urban,No,Excellent,594000
982,4,3.0,6,Suburban,Yes,Excellent,602000
1366,2,2.0,36,Suburban,Yes,Good,573000
2168,4,2.0,12,Urban,No,Good,774000
1396,3,2.0,21,Urban,Yes,Excellent,701000
899,1,1.0,25,Urban,Yes,Good,533000
1402,1,1.0,6,Suburban,No,Excellent,622000
1391,3,3.5,8,Urban,No,Good,625000
600,4,2.0,28,Urban,No,Poor,438000
1478,4,2.5,6,Rural,Yes,Excellent,615000
1408,4,2.0,23,Rural,Yes,Excellent,611000
1778,3,2.0,42,Urban,No,Excellent,665000
2240,3,3.0,14,Urban,Yes,Good,810000
1951,2,1.5,20,Urban,Yes,Average,651000
1392,3,2.0,24,Suburban,No,Poor,532000
1057,3,2.5,27,Rural,Yes,Excellent,561000
2529,1,2.0,7,Urban,No,Poor,662000
1524,2,1.5,0,Urban,Yes,Excellent,744000
1506,3,3.5,7,Suburban,Yes,Good,654000
1490,4,2.0,16,Suburban,Yes,Excellent,600000
1579,5,2.5,8,Urban,No,Poor,641000
1442,5,3.5,20,Suburban,Yes,Good,665000
1271,4,3.5,6,Urban,Yes,Average,643000
1281,3,2.5,15,Urban,No,Average,620000
1487,4,2.0,3,Suburban,No,Excellent,675000
1283,4,2.0,20,Rural,No,Excellent,574000
1215,2,1.0,11,Suburban,Yes,Poor,524000
1543,3,2.5,3,Rural,Yes,Excellent,634000
1398,4,2.0,5,Suburban,No,Excellent,691000
2102,3,3.0,20,Suburban,Yes,Good,687000
600,3,2.0,9,Suburban,Yes,Good,506000
1937,3,3.0,3,Rural,Yes,Excellent,705000
1998,2,2.0,50,Rural,No,Excellent,643000
671,3,2.0,18,Urban,Yes,Excellent,528000
1363,3,3.0,47,Rural,No,Good,481000
1351,1,1.5,8,Rural,Yes,Poor,494000
937,1,1.5,9,Suburban,Yes,Poor,474000
1189,4,3.0,34,Urban,Yes,Good,667000
1056,2,2.0,11,Rural,Yes,Excellent,498000
2201,3,3.0,18,Rural,Yes,Poor,688000
1874,2,1.5,4,Urban,Yes,Good,780000
2009,5,3.5,8,Rural,Yes,Excellent,729000
1789,2,2.0,1,Urban,No,Poor,593000
1048,3,3.0,3,Urban,No,Average,563000
1290,5,2.0,0,Suburban,No,Average,594000
1696,4,2.5,0,Suburban,Yes,Average,687000
1011,2,1.5,50,Suburban,Yes,Excellent,505000
1785,4,3.5,4,Urban,Yes,Excellent,816000
1404,3,2.5,16,Rural,No,Average,505000
1350,3,2.5,27,Urban,No,Excellent,582000
1784,2,1.5,11,Urban,No,Good,701000
1678,1,2.0,2,Urban,Yes,Average,583000
1356,4,2.0,19,Suburban,Yes,Average,586000
1964,3,2.5,13,Rural,Yes,Good,764000
1068,3,2.5,19,Suburban,Yes,Average,544000
1746,4,3.5,22,Rural,Yes,Average,597000
1737,4,2.0,50,Urban,No,Average,627000
1376,2,2.0,12,Suburban,Yes,Excellent,622000
1630,4,3.0,6,Suburban,Yes,Excellent,711000
1000,2,1.5,15,Suburban,Yes,Excellent,576000
1870,4,2.5,1,Urban,No,Excellent,719000
1426,4,2.5,34,Suburban,Yes,Excellent,691000
1291,5,2.5,1,Suburban,No,Excellent,652000
1920,1,1.5,5,Suburban,No,Good,674000
1218,1,1.0,25,Suburban,Yes,Poor,466000
937,2,2.0,13,Urban,Yes,Excellent,625000
877,2,1.5,7,Suburban,Yes,Average,493000
1742,2,2.0,9,Urban,Yes,Average,675000
988,5,3.0,28,Rural,No,Excellent,512000
2202,2,1.5,6,Suburban,No,Poor,621000
667,2,1.5,30,Urban,Yes,Good,522000
2179,4,2.5,1,Rural,Yes,Excellent,733000
1584,3,2.5,22,Suburban,Yes,Average,594000
1461,4,2.5,28,Urban,Yes,Excellent,662000
1282,1,1.5,3,Suburban,Yes,Average,575000
1660,3,2.0,8,Urban,Yes,Excellent,693000
1485,1,1.5,2,Rural,Yes,Average,542000
1941,1,1.0,18,Rural,No,Good,596000
1546,5,3.0,11,Rural,Yes,Good,583000
1560,2,1.5,15,Suburban,Yes,Excellent,596000
1355,3,3.0,3,Suburban,Yes,Average,621000
1477,3,2.5,3,Suburban,No,Average,580000
1623,3,3.5,0,Urban,Yes,Good,749000
816,5,3.5,5,Suburban,Yes,Good,614000
961,1,1.0,12,Suburban,Yes,Good,536000
1797,4,2.5,29,Urban,No,Poor,691000
1568,5,2.5,16,Suburban,Yes,Good,669000
1426,3,2.5,8,Rural,No,Average,569000
1507,5,3.0,45,Rural,No,Average,539000
1639,1,1.5,19,Urban,No,Good,700000
1284,3,3.0,39,Urban,Yes,Excellent,699000
1189,2,1.5,11,Urban,Yes,Good,599000
1578,4,2.5,4,Rural,Yes,Average,620000
1109,5,2.0,0,Urban,No,Excellent,682000
1663,2,1.5,19,Suburban,Yes,Good,628000
819,4,2.5,1,Urban,Yes,Average,548000
1912,2,1.0,5,Suburban,No,Excellent,702000
1689,3,2.5,11,Urban,Yes,Good,703000
1602,3,2.0,12,Suburban,Yes,Excellent,675000
1893,5,3.5,13,Urban,Yes,Excellent,763000
2166,4,2.0,2,Suburban,Yes,Average,679000
1906,3,3.5,7,Urban,No,Excellent,759000
764,2,1.5,14,Suburban,Yes,Excellent,549000
988,2,2.0,50,Rural,Yes,Poor,405000
1250,2,1.0,19,Urban,Yes,Excellent,656000
1510,2,1.5,38,Rural,No,Poor,454000
1707,5,3.5,21,Suburban,No,Poor,596000
1210,3,2.5,13,Urban,Yes,Excellent,645000
1575,3,2.5,3,Suburban,Yes,Excellent,679000
1198,2,1.5,16,Urban,Yes,Average,593000
1255,5,2.5,14,Suburban,No,Good,584000
937,4,2.5,13,Suburban,Yes,Excellent,629000
1131,1,1.5,10,Urban,No,Average,593000
959,4,3.0,11,Suburban,Yes,Excellent,600000
1110,3,3.5,6,Rural,Yes,Poor,546000
1921,1,1.0,10,Rural,Yes,Excellent,609000
1120,3,3.5,3,Suburban,No,Excellent,641000
2553,3,3.0,24,Rural,Yes,Excellent,806000
1697,2,1.0,3,Suburban,No,Poor,597000
1574,5,3.0,1,Urban,Yes,Average,700000
1157,4,3.0,8,Rural,Yes,Average,460000
1780,4,2.0,16,Suburban,Yes,Excellent,685000
1270,3,3.5,8,Suburban,No,Excellent,607000
1549,3,2.0,4,Suburban,Yes,Excellent,640000
2524,4,3.5,12,Rural,No,Good,766000
1462,3,3.5,6,Rural,No,Good,584000
1960,1,1.0,40,Suburban,No,Good,591000
1219,3,2.5,38,Urban,Yes,Excellent,592000
1486,4,3.0,10,Suburban,No,Poor,564000
2208,3,2.5,5,Suburban,No,Excellent,788000
1249,1,1.5,20,Urban,Yes,Poor,512000
2225,4,2.0,0,Suburban,Yes,Excellent,771000
1783,2,1.0,9,Suburban,Yes,Good,639000
1275,2,2.0,6,Urban,Yes,Excellent,654000
1753,2,1.0,37,Urban,Yes,Good,664000
1889,3,3.5,0,Urban,Yes,Good,666000
1749,4,2.5,12,Rural,Yes,Good,681000
872,3,3.0,20,Urban,Yes,Good,620000
1209,2,1.5,9,Urban,Yes,Average,547000
1401,5,3.0,1,Suburban,Yes,Average,615000
1470,5,3.0,50,Urban,Yes,Average,622000
1748,5,3.0,10,Urban,Yes,Excellent,740000
1571,2,2.0,14,Urban,Yes,Good,667000
966,3,2.5,4,Suburban,Yes,Good,511000
1652,5,3.0,9,Suburban,Yes,Excellent,685000
1744,4,2.5,8,Urban,No,Good,750000
1724,1,2.0,1,Suburban,Yes,Excellent,647000
1932,1,2.0,1,Rural,No,Excellent,683000
1834,3,3.0,27,Urban,Yes,Excellent,745000
1684,5,3.0,4,Urban,Yes,Excellent,704000
1472,3,2.5,3,Urban,Yes,Average,670000
836,3,2.0,10,Suburban,Yes,Average,508000
1672,2,1.5,21,Suburban,No,Poor,543000
1583,4,3.0,0,Urban,Yes,Average,698000
1609,4,3.5,12,Suburban,Yes,Excellent,719000
989,3,2.0,1,Urban,Yes,Poor,565000
1068,4,3.0,0,Suburban,Yes,Poor,588000
1921,5,2.5,0,Suburban,No,Good,733000
1484,2,1.5,26,Urban,No,Good,567000
1773,3,3.5,1,Suburban,Yes,Poor,639000
1511,2,1.0,0,Urban,Yes,Good,739000
1512,4,2.5,8,Suburban,Yes,Poor,626000
1875,3,2.0,27,Urban,No,Excellent,776000
1294,4,2.0,4,Rural,Yes,Excellent,645000
1538,4,2.5,8,Urban,Yes,Good,701000
1315,3,2.0,0,Rural,No,Good,567000
1326,5,3.0,8,Urban,Yes,Average,655000
1376,3,2.5,12,Suburban,Yes,Poor,516000
1589,2,2.0,12,Urban,No,Excellent,666000
1309,4,2.0,6,Rural,Yes,Excellent,640000
2002,4,2.5,5,Urban,Yes,Average,723000
1142,3,3.0,1,Urban,Yes,Good,649000
1425,5,3.5,6,Suburban,Yes,Excellent,721000
1324,5,2.0,1,Urban,Yes,Good,645000
2079,2,1.5,21,Urban,No,Average,664000
1579,5,3.0,50,Rural,Yes,Average,551000
1913,2,1.5,50,Rural,No,Good,554000
906,2,1.0,30,Urban,No,Excellent,491000
1607,2,2.0,13,Rural,Yes,Poor,515000
1856,5,2.0,18,Suburban,Yes,Average,723000
1533,4,3.0,5,Urban,Yes,Good,675000
1926,2,2.0,14,Suburban,No,Excellent,688000
1293,3,3.5,9,Suburban,No,Average,568000
2064,4,2.5,9,Rural,Yes,Excellent,756000
2420,1,1.0,21,Urban,No,Excellent,793000
1355,5,3.0,4,Suburban,Yes,Good,685000
1322,4,2.5,5,Urban,No,Excellent,673000
2081,3,3.0,38,Urban,Yes,Good,733000
2132,5,3.0,0,Urban,Yes,Excellent,794000
1291,3,3.5,9,Rural,No,Average,601000
1332,5,3.0,36,Rural,Yes,Excellent,581000
1387,4,3.0,14,Suburban,Yes,Excellent,682000
962,4,3.0,11,Suburban,Yes,Excellent,633000
1133,2,1.0,4,Urban,Yes,Poor,518000
1098,5,2.5,6,Urban,Yes,Poor,617000
1193,3,2.0,28,Urban,No,Excellent,625000
1486,2,2.0,12,Urban,Yes,Average,677000
1594,1,2.0,10,Suburban,Yes,Good,612000
2120,3,3.0,1,Suburban,No,Poor,639000
1101,3,3.0,0,Urban,Yes,Excellent,636000
1894,4,3.0,49,Urban,Yes,Average,694000
1414,5,2.0,7,Urban,No,Excellent,682000
1480,1,2.0,13,Suburban,No,Excellent,594000
1770,4,2.5,1,Rural,Yes,Poor,553000
1051,2,1.5,17,Suburban,No,Good,536000
1653,5,3.0,40,Rural,Yes,Excellent,707000
1567,4,2.5,12,Suburban,No,Excellent,677000
1697,3,2.0,2,Urban,Yes,Average,697000
1616,4,2.0,13,Urban,No,Good,690000
2482,3,3.5,21,Rural,Yes,Excellent,787000
1245,3,3.5,7,Suburban,No,Poor,576000
1288,4,3.0,31,Urban,No,Excellent,652000
1251,3,2.0,15,Suburban,No,Excellent,584000
1278,3,2.5,34,Suburban,Yes,Poor,507000
1245,3,3.0,14,Suburban,Yes,Excellent,621000
1976,4,3.0,2,Rural,Yes,Excellent,732000
2068,3,2.0,5,Suburban,No,Good,697000
1272,2,1.0,3,Suburban,Yes,Average,566000
1167,4,3.0,35,Urban,No,Excellent,631000
1689,4,2.5,21,Urban,No,Poor,653000
1279,2,1.5,16,Urban,Yes,Average,621000
1753,2,1.5,5,Urban,No,Excellent,692000
1581,2,2.0,3,Suburban,Yes,Average,579000
894,3,3.5,21,Suburban,Yes,Excellent,566000
2119,3,3.5,9,Urban,Yes,Good,784000
2218,4,3.0,3,Rural,Yes,Average,658000
1255,4,3.0,14,Urban,No,Poor,619000
1345,4,2.0,0,Urban,Yes,Excellent,689000
1614,3,3.0,5,Urban,Yes,Good,715000
1634,4,2.5,9,Urban,No,Good,728000
1763,3,3.0,2,Urban,No,Excellent,710000
2304,5,2.5,50,Suburban,Yes,Excellent,785000
1429,4,2.5,3,Suburban,No,Excellent,649000
1181,2,1.0,2,Rural,Yes,Average,499000
948,4,2.5,3,Urban,Yes,Good,587000
1208,3,2.0,21,Urban,Yes,Excellent,681000
1487,4,2.0,8,Urban,Yes,Average,642000
2218,1,1.0,12,Suburban,No,Average,679000
1293,2,1.0,0,Urban,Yes,Good,562000
1590,5,3.0,0,Rural,No,Excellent,694000
1493,2,1.0,8,Suburban,Yes,Good,642000
1975,4,3.5,25,Suburban,Yes,Excellent,750000
2511,2,1.5,32,Suburban,No,Excellent,739000
1288,4,3.5,1,Urban,No,Average,645000
1304,4,2.5,11,Urban,Yes,Excellent,744000
1918,3,2.5,36,Urban,Yes,Excellent,677000
1773,3,2.5,7,Suburban,Yes,Excellent,731000
2239,2,1.0,26,Urban,Yes,Excellent,726000
1734,1,1.5,2,Urban,No,Excellent,677000
1356,3,2.5,41,Rural,No,Poor,469000
1736,4,2.0,20,Urban,Yes,Excellent,711000
1943,5,3.0,42,Rural,No,Excellent,669000
1828,5,2.0,16,Suburban,Yes,Excellent,689000
1703,4,3.0,6,Urban,Yes,Poor,703000
1927,4,3.0,41,Urban,Yes,Good,672000
1968,4,3.0,4,Urban,Yes,Excellent,805000
2053,2,1.5,6,Suburban,Yes,Poor,639000
1759,5,3.5,18,Suburban,Yes,Excellent,698000
1433,4,2.5,21,Suburban,Yes,Excellent,661000
1559,3,3.0,39,Rural,Yes,Excellent,564000
1983,2,1.5,3,Suburban,No,Excellent,697000
1173,3,2.0,23,Urban,Yes,Excellent,581000
1647,3,2.0,20,Urban,Yes,Average,667000
1343,5,2.5,0,Rural,No,Excellent,586000
1511,3,2.5,7,Urban,No,Good,645000
2011,3,3.0,4,Urban,No,Excellent,773000
1576,5,3.5,5,Suburban,Yes,Excellent,696000
1519,2,1.5,50,Suburban,Yes,Good,578000
956,3,2.0,15,Rural,Yes,Poor,409000
1799,1,2.0,18,Suburban,Yes,Excellent,688000
1758,4,2.0,50,Urban,No,Average,685000
2365,5,2.5,7,Rural,Yes,Excellent,864000
1377,2,2.0,24,Urban,Yes,Excellent,644000
1588,5,3.0,8,Urban,Yes,Excellent,764000
1600,2,1.5,30,Suburban,Yes,Excellent,578000
2131,5,2.0,2,Urban,No,Excellent,838000
1462,4,2.0,44,Suburban,Yes,Excellent,652000
1612,4,3.0,3,Urban,Yes,Average,677000
1743,1,1.0,5,Suburban,Yes,Excellent,696000
1575,5,2.5,21,Urban,Yes,Good,690000
1321,4,3.0,7,Suburban,Yes,Excellent,645000
1578,3,3.5,14,Rural,Yes,Good,640000
1929,4,2.0,8,Urban,Yes,Good,713000
1089,2,1.0,20,Urban,No,Excellent,598000
1553,5,3.0,3,Urban,No,Excellent,688000
1220,2,2.0,0,Urban,No,Average,545000
1978,4,2.5,5,Suburban,No,Poor,630000
891,3,3.0,9,Suburban,Yes,Excellent,603000
1276,1,1.0,2,Urban,Yes,Excellent,603000
1651,2,1.0,6,Urban,Yes,Poor,570000
2126,1,1.0,7,Urban,No,Excellent,706000
1474,3,3.0,0,Suburban,No,Good,636000
1278,3,2.5,13,Urban,No,Excellent,602000
2252,3,3.0,32,Rural,Yes,Excellent,687000
921,2,1.0,2,Suburban,No,Good,573000
620,2,1.0,13,Urban,Yes,Good,478000
1676,4,3.0,16,Suburban,Yes,Excellent,694000
1299,1,1.5,8,Rural,Yes,Good,525000
1092,5,2.5,18,Suburban,Yes,Average,561000
1783,5,3.5,7,Urban,Yes,Good,777000
1598,4,2.0,10,Urban,Yes,Excellent,741000
1274,3,2.5,0,Rural,Yes,Good,570000
988,5,2.0,17,Suburban,Yes,Average,514000
1849,2,2.0,16,Suburban,No,Average,664000
1760,1,1.5,0,Rural,No,Good,591000
1460,2,1.5,6,Rural,Yes,Excellent,646000
2239,4,3.0,50,Rural,No,Average,581000
1072,1,1.5,8,Urban,No,Average,533000
890,3,3.0,10,Suburban,Yes,Excellent,637000
1223,5,2.5,36,Suburban,Yes,Good,589000
1482,5,2.5,18,Suburban,Yes,Excellent,670000
1597,3,3.5,13,Suburban,Yes,Average,654000
1404,1,1.5,23,Urban,No,Excellent,590000
1641,4,2.0,29,Suburban,No,Good,621000
999,3,3.0,9,Suburban,Yes,Poor,512000
2078,2,1.5,9,Urban,No,Average,670000
1467,1,1.5,7,Suburban,No,Poor,564000
1947,5,2.0,50,Urban,No,Poor,656000
1637,4,2.5,17,Urban,Yes,Excellent,727000
1683,4,3.0,1,Urban,No,Good,734000
1728,5,2.0,29,Suburban,Yes,Good,667000
1679,3,3.0,9,Suburban,Yes,Poor,601000
1757,3,3.5,1,Suburban,Yes,Excellent,708000
2032,3,2.5,11,Suburban,Yes,Poor,667000
1579,3,2.5,8,Rural,No,Good,566000
1784,3,2.5,31,Urban,Yes,Average,655000
1464,4,2.0,3,Urban,Yes,Excellent,684000
2076,4,3.5,26,Rural,Yes,Excellent,785000
1229,5,2.5,12,Urban,No,Average,527000
2220,3,2.5,0,Rural,Yes,Excellent,736000
1484,4,3.0,50,Rural,No,Average,587000
928,4,2.5,10,Suburban,Yes,Excellent,593000
1551,3,3.0,5,Rural,Yes,Average,621000
1228,4,2.0,9,Urban,Yes,Excellent,661000
1836,2,1.5,29,Urban,Yes,Good,658000
1239,3,3.5,5,Suburban,Yes,Average,532000
1322,2,1.0,3,Urban,Yes,Excellent,645000
744,3,3.5,2,Rural,No,Excellent,490000
1319,3,2.0,5,Urban,Yes,Excellent,640000
600,4,2.5,22,Suburban,Yes,Good,494000
866,5,3.0,9,Suburban,Yes,Good,633000
1804,4,3.0,3,Suburban,No,Average,743000
1814,4,2.5,2,Urban,Yes,Good,747000
1670,3,2.5,6,Urban,Yes,Good,689000
1113,4,2.0,42,Rural,No,Excellent,483000
1481,1,2.0,6,Urban,Yes,Excellent,677000
1499,2,1.5,50,Rural,Yes,Excellent,610000
1037,3,3.0,9,Suburban,Yes,Poor,520000
2101,3,2.5,2,Suburban,Yes,Poor,615000
1851,1,2.0,33,Suburban,Yes,Excellent,682000
1412,2,1.5,9,Urban,Yes,Good,664000
1511,2,1.0,18,Suburban,Yes,Average,530000
1583,5,3.5,50,Rural,Yes,Good,620000
683,3,3.0,0,Suburban,Yes,Excellent,572000
1401,3,2.5,1,Rural,No,Excellent,595000
1227,2,1.0,19,Suburban,No,Good,515000
1099,4,3.0,4,Urban,No,Poor,594000
1388,2,2.0,3,Urban,Yes,Average,607000
2219,2,1.5,0,Rural,Yes,Excellent,670000
1756,3,3.5,0,Urban,Yes,Excellent,695000
1272,1,2.0,22,Rural,Yes,Average,539000
1729,1,1.0,2,Rural,No,Average,573000
